ID_Pedido,Data_Compra,Cliente_ID,Produto,Categoria,Quantidade,Preco_Unitario,Status_Entrega,Total_Venda
1063,2026-08-29,146,Smartwatch,Acessórios,2.0,799.5,Entregue,1599.0
1064,2026-08-09,113,Fone de Ouvido,Acessórios,2.0,2100.0,Entregue,4200.0
1065,2026-08-07,102,Teclado Mecânico,Acessórios,2.0,850.0,Entregue,1700.0
1066,2026-08-22,100,Fone de Ouvido,Eletrônicos,1.0,5999.9,Entregue,5999.9
1067,2026-08-19,104,Smartwatch,Eletrônicos,3.0,8500.0,Entregue,25500.0
1068,2026-08-12,125,Smartwatch,Acessórios,2.0,799.5,Entregue,1599.0
1069,2026-08-30,113,Fone de Ouvido,Acessórios,4.0,2100.0,Entregue,8400.0
1070,2026-08-14,138,Smartwatch,Acessórios,3.0,850.0,Entregue,2550.0
1071,2026-08-20,126,Fone de Ouvido,Eletrônicos,3.0,5999.9,Entregue,17999.699999999997
1072,2026-09-09,108,Notebook,Eletrônicos,2.0,8500.0,Entregue,17000.0
1073,2026-08-23,114,Fone de Ouvido,Acessórios,1.0,799.5,Entregue,799.5
1074,2026-08-16,114,Fone de Ouvido,Acessórios,2.0,2100.0,Pendente,4200.0
1075,2026-08-30,125,Smartwatch,Acessórios,1.0,850.0,Entregue,850.0
1076,2026-08-18,141,Smartwatch,Eletrônicos,4.0,5999.9,Entregue,23999.6
1077,2026-09-09,112,Smartphone,Eletrônicos,3.0,8500.0,Entregue,25500.0
1078,2026-09-05,131,Smartphone,Acessórios,4.0,799.5,Entregue,3198.0
1079,2026-08-20,138,Notebook,Acessórios,1.0,2100.0,Pendente,2100.0
1080,2026-09-11,148,Smartphone,Acessórios,1.0,850.0,Entregue,850.0
1081,2026-09-05,131,Fone de Ouvido,Eletrônicos,4.0,5999.9,Entregue,23999.6
1082,2026-09-18,103,Smartwatch,Eletrônicos,1.0,8500.0,Entregue,8500.0
1083,2026-09-08,129,Smartphone,Acessórios,4.0,799.5,Entregue,3198.0
1084,2026-09-06,136,Smartphone,Acessórios,3.0,2100.0,Entregue,6300.0
1085,2026-09-20,122,Notebook,Acessórios,4.0,850.0,Entregue,3400.0
1086,2026-09-07,138,Notebook,Eletrônicos,3.0,5999.9,Entregue,17999.699999999997
1087,2026-09-18,144,Fone de Ouvido,Eletrônicos,4.0,8500.0,Entregue,34000.0
1088,2026-09-23,114,Smartwatch,Acessórios,1.0,799.5,Entregue,799.5
1089,2026-09-26,142,Notebook,Acessórios,4.0,2100.0,Entregue,8400.0
1090,2026-08-30,128,Smartphone,Acessórios,1.0,850.0,Entregue,850.0
1091,2026-09-24,135,Smartwatch,Eletrônicos,4.0,5999.9,Entregue,23999.6
1092,2026-09-09,112,Smartwatch,Eletrônicos,4.0,8500.0,Entregue,34000.0
1093,2026-09-22,131,Smartphone,Acessórios,2.0,799.5,Cancelado,1599.0
1094,2026-09-29,106,Notebook,Acessórios,1.0,2100.0,Entregue,2100.0
1095,2026-09-12,121,Smartphone,Acessórios,2.0,850.0,Entregue,1700.0
1096,2026-09-06,127,Smartwatch,Eletrônicos,1.0,5999.9,Entregue,5999.9
1097,2026-09-18,101,Teclado Mecânico,Eletrônicos,2.0,8500.0,Pendente,17000.0
1098,2026-09-11,141,Teclado Mecânico,Acessórios,3.0,799.5,Entregue,2398.5
1099,2026-09-26,144,Fone de Ouvido,Acessórios,4.0,2100.0,Entregue,8400.0
1100,2026-10-07,105,Smartphone,Acessórios,1.0,850.0,Entregue,850.0
